cousub,placeName,countyFIPS,countyName,area,pop1900,pop1910,pop1920,pop1930,pop1940,pop1950,pop1960,pop1970,pop1980,pop1990,pop2000,ch9000pct,beale93R,beale03,rec_code
172,Ada (City),107,Norman,City,1253,1432,1411,1285,1938,2121,2064,2076,1971,1708,1657,-2.99,rural,rural,0
172,Ada (City),107,Norman,City,1253,1432,1411,1285,1938,2121,2064,2076,1971,1708,1657,-2.99,rural,rural,0
190,Adams (City),99,Mower,City,573,576,609,574,674,663,806,771,797,756,800,5.82,rural,rural,0
190,Adams (City),99,Mower,City,573,576,609,574,674,663,806,771,797,756,800,5.82,rural,rural,0
262,Adrian (City),105,Nobles,City,1258,1112,1087,1000,1066,1115,1215,1350,1336,1141,1234,8.15,rural,rural,0
262,Adrian (City),105,Nobles,City,1258,1112,1087,1000,1066,1115,1215,1350,1336,1141,1234,8.15,rural,rural,0
316,Afton (City),163,Washington,City,0,0,183,148,132,142,158,248,2550,2645,2839,7.33,metro,metro,0
316,Afton (City),163,Washington,City,0,0,183,148,132,142,158,248,2550,2645,2839,7.33,metro,metro,0
460,Aitkin (City),1,Aitkin,City,1719,1638,1490,1545,2063,2079,1829,1553,1770,1698,1984,16.84,rural,rural,1
460,Aitkin (City),1,Aitkin,City,1719,1638,1490,1545,2063,2079,1829,1553,1770,1698,1984,16.84,rural,rural,1
496,Akeley (City),57,Hubbard,City,0,0,855,514,566,525,434,468,486,393,412,4.83,rural,rural,1
496,Akeley (City),57,Hubbard,City,0,0,855,514,566,525,434,468,486,393,412,4.83,rural,rural,1
622,Albany (City),145,Stearns,City,517,657,824,851,975,1196,1375,1599,1569,1548,1796,16.02,metro,metro,0
622,Albany (City),145,Stearns,City,517,657,824,851,975,1196,1375,1599,1569,1548,1796,16.02,metro,metro,0
676,Alberta (City),149,Stevens,City,0,0,109,153,200,139,149,140,145,136,142,4.41,rural,rural,0
676,Alberta (City),149,Stevens,City,0,0,109,153,200,139,149,140,145,136,142,4.41,rural,rural,0
694,Albert Lea (City),47,Freeborn,City,4500,6192,8056,10169,12200,13545,17108,19418,19200,18310,18356,0.25,rural,rural,0
694,Albert Lea (City),47,Freeborn,City,4500,6192,8056,10169,12200,13545,17108,19418,19200,18310,18356,0.25,rural,rural,0
730,Albertville (City),171,Wright,City,0,0,0,217,243,238,279,451,564,1251,3621,189.45,metro,metro,0
730,Albertville (City),171,Wright,City,0,0,0,217,243,238,279,451,564,1251,3621,189.45,metro,metro,0
838,Alden (City),47,Freeborn,City,636,544,530,532,544,668,694,713,687,623,652,4.65,rural,rural,0
838,Alden (City),47,Freeborn,City,636,544,530,532,544,668,694,713,687,623,652,4.65,rural,rural,0
892,Aldrich (City),159,Wadena,City,0,0,0,0,152,131,90,85,88,70,53,-24.29,rural,rural,0
892,Aldrich (City),159,Wadena,City,0,0,0,0,152,131,90,85,88,70,53,-24.29,rural,rural,0
928,Alexandria (City),41,Douglas,City,2681,3001,3388,3876,5051,6319,6713,6973,7608,7838,8820,12.53,rural,rural,1
928,Alexandria (City),41,Douglas,City,2681,3001,3388,3876,5051,6319,6713,6973,7608,7838,8820,12.53,rural,rural,1
1162,Alpha (City),63,Jackson,City,209,223,261,209,229,230,207,179,180,105,126,20,rural,rural,0
1162,Alpha (City),63,Jackson,City,209,223,261,209,229,230,207,179,180,105,126,20,rural,rural,0
1234,Altura (City),169,Winona,City,0,200,189,256,258,269,320,334,354,349,417,19.48,rural,rural,0
1234,Altura (City),169,Winona,City,0,200,189,256,258,269,320,334,354,349,417,19.48,rural,rural,0
1252,Alvarado (City),89,Marshall,City,0,128,361,323,336,317,282,302,385,356,371,4.21,rural,rural,0
1252,Alvarado (City),89,Marshall,City,0,128,361,323,336,317,282,302,385,356,371,4.21,rural,rural,0
1324,Amboy (City),13,Blue Earth,City,432,435,527,593,576,585,629,571,606,517,575,11.22,rural,rural,0
1324,Amboy (City),13,Blue Earth,City,432,435,527,593,576,585,629,571,606,517,575,11.22,rural,rural,0
1486,Andover (City),3,Anoka,City,0,0,0,0,0,0,0,0,9387,15216,26588,74.74,metro,metro,0
1486,Andover (City),3,Anoka,City,0,0,0,0,0,0,0,0,9387,15216,26588,74.74,metro,metro,0
