Id,Id2,Geography,Total
0600000US2700100460,2700100460,"Aitkin city, Aitkin County, Minnesota",2165
0600000US2700100478,2700100478,"Aitkin township, Aitkin County, Minnesota",856
0600000US2700103358,2700103358,"Ball Bluff township, Aitkin County, Minnesota",278
0600000US2700103412,2700103412,"Balsam township, Aitkin County, Minnesota",42
0600000US2700104384,2700104384,"Beaver township, Aitkin County, Minnesota",53
0600000US2700111620,2700111620,"Clark township, Aitkin County, Minnesota",169
0600000US2700113330,2700113330,"Cornish township, Aitkin County, Minnesota",28
0600000US2700114903,2700114903,"Davidson UT, Aitkin County, Minnesota",42
0600000US2700120654,2700120654,"Farm Island township, Aitkin County, Minnesota",1099
0600000US2700121230,2700121230,"Fleming township, Aitkin County, Minnesota",312
0600000US2700123930,2700123930,"Glen township, Aitkin County, Minnesota",450
0600000US2700127602,2700127602,"Haugen township, Aitkin County, Minnesota",178
0600000US2700128052,2700128052,"Hazelton township, Aitkin County, Minnesota",844
0600000US2700129096,2700129096,"Hill City city, Aitkin County, Minnesota",633
0600000US2700129114,2700129114,"Hill Lake township, Aitkin County, Minnesota",430
0600000US2700130788,2700130788,"Idun township, Aitkin County, Minnesota",259
0600000US2700131958,2700131958,"Jevne township, Aitkin County, Minnesota",322
0600000US2700131966,2700131966,"Jewett UT, Aitkin County, Minnesota",47
0600000US2700133218,2700133218,"Kimberly township, Aitkin County, Minnesota",195
0600000US2700134982,2700134982,"Lakeside township, Aitkin County, Minnesota",463
0600000US2700136152,2700136152,"Lee township, Aitkin County, Minnesota",50
0600000US2700136908,2700136908,"Libby township, Aitkin County, Minnesota",45
0600000US2700137844,2700137844,"Logan township, Aitkin County, Minnesota",184
0600000US2700138996,2700138996,"McGrath city, Aitkin County, Minnesota",80
0600000US2700139014,2700139014,"McGregor city, Aitkin County, Minnesota",391
0600000US2700139032,2700139032,"McGregor township, Aitkin County, Minnesota",105
0600000US2700139212,2700139212,"Macville township, Aitkin County, Minnesota",206
0600000US2700139590,2700139590,"Malmo township, Aitkin County, Minnesota",337
0600000US2700142300,2700142300,"Millward township, Aitkin County, Minnesota",72
0600000US2700144278,2700144278,"Morrison township, Aitkin County, Minnesota",200
0600000US2700146546,2700146546,"Nordland township, Aitkin County, Minnesota",972
0600000US2700146890,2700146890,"Northeast Aitkin UT, Aitkin County, Minnesota",11
0600000US2700147342,2700147342,"Northwest Aitkin UT, Aitkin County, Minnesota",342
0600000US2700149498,2700149498,"Palisade city, Aitkin County, Minnesota",167
0600000US2700151694,2700151694,"Pliny township, Aitkin County, Minnesota",109
0600000US2700154106,2700154106,"Rice River township, Aitkin County, Minnesota",136
0600000US2700158270,2700158270,"Salo township, Aitkin County, Minnesota",102
0600000US2700159134,2700159134,"Seavey township, Aitkin County, Minnesota",61
0600000US2700159368,2700159368,"Shamrock township, Aitkin County, Minnesota",1272
0600000US2700161546,2700161546,"Spalding township, Aitkin County, Minnesota",329
0600000US2700161654,2700161654,"Spencer township, Aitkin County, Minnesota",518
0600000US2700164156,2700164156,"Tamarack city, Aitkin County, Minnesota",94
0600000US2700165722,2700165722,"Turner township, Aitkin County, Minnesota",208
0600000US2700166748,2700166748,"Verdon township, Aitkin County, Minnesota",45
0600000US2700167540,2700167540,"Wagner township, Aitkin County, Minnesota",332
0600000US2700168692,2700168692,"Waukenabo township, Aitkin County, Minnesota",316
0600000US2700168872,2700168872,"Wealthwood township, Aitkin County, Minnesota",268
0600000US2700170132,2700170132,"White Pine township, Aitkin County, Minnesota",34
0600000US2700170384,2700170384,"Williams township, Aitkin County, Minnesota",144
0600000US2700171716,2700171716,"Workman township, Aitkin County, Minnesota",207
0600000US2700301486,2700301486,"Andover city, Anoka County, Minnesota",30598
0600000US2700301720,2700301720,"Anoka city, Anoka County, Minnesota",17142
0600000US2700305554,2700305554,"Bethel city, Anoka County, Minnesota",466
0600000US2700306382,2700306382,"Blaine city, Anoka County, Minnesota",57186
0600000US2700310648,2700310648,"Centerville city, Anoka County, Minnesota",3792
0600000US2700311494,2700311494,"Circle Pines city, Anoka County, Minnesota",4918
0600000US2700312700,2700312700,"Columbia Heights city, Anoka County, Minnesota",19496
0600000US2700312718,2700312718,"Columbus city, Anoka County, Minnesota",3914
0600000US2700313114,2700313114,"Coon Rapids city, Anoka County, Minnesota",61476
0600000US2700317486,2700317486,"East Bethel city, Anoka County, Minnesota",11626
0600000US2700322814,2700322814,"Fridley city, Anoka County, Minnesota",27208
0600000US2700326738,2700326738,"Ham Lake city, Anoka County, Minnesota",15296
0600000US2700329258,2700329258,"Hilltop city, Anoka County, Minnesota",744
0600000US2700336836,2700336836,"Lexington city, Anoka County, Minnesota",2049
0600000US2700337322,2700337322,"Lino Lakes city, Anoka County, Minnesota",20216
0600000US2700337376,2700337376,"Linwood township, Anoka County, Minnesota",5123
0600000US2700347536,2700347536,"Nowthen city, Anoka County, Minnesota",4443
0600000US2700347690,2700347690,"Oak Grove city, Anoka County, Minnesota",8031
0600000US2700353026,2700353026,"Ramsey city, Anoka County, Minnesota",23668
0600000US2700356950,2700356950,"St. Francis city, Anoka County, Minnesota",7218
0600000US2700361996,2700361996,"Spring Lake Park city, Anoka County, Minnesota",6234
0600000US2700502674,2700502674,"Atlanta township, Becker County, Minnesota",119
0600000US2700502728,2700502728,"Audubon city, Becker County, Minnesota",519
0600000US2700502746,2700502746,"Audubon township, Becker County, Minnesota",548
0600000US2700508686,2700508686,"Burlington township, Becker County, Minnesota",1545
0600000US2700509280,2700509280,"Callaway city, Becker County, Minnesota",234
0600000US2700509298,2700509298,"Callaway township, Becker County, Minnesota",287
0600000US2700510126,2700510126,"Carsonville township, Becker County, Minnesota",220
0600000US2700513294,2700513294,"Cormorant township, Becker County, Minnesota",1039
0600000US2700514230,2700514230,"Cuba township, Becker County, Minnesota",277
0600000US2700515814,2700515814,"Detroit township, Becker County, Minnesota",2033
0600000US2700515832,2700515832,"Detroit Lakes city, Becker County, Minnesota",8569
0600000US2700517455,2700517455,"Eagle View township, Becker County, Minnesota",131
0600000US2700519646,2700519646,"Erie township, Becker County, Minnesota",1642
0600000US2700520006,2700520006,"Evergreen township, Becker County, Minnesota",340
0600000US2700521671,2700521671,"Forest township, Becker County, Minnesota",77
