Id,Id2,Geography,pop2016,Margin of Error; Total
0600000US2700100460,2700100460,"Aitkin city, Aitkin County, Minnesota",2274,208
0600000US2700100478,2700100478,"Aitkin township, Aitkin County, Minnesota",979,119
0600000US2700103358,2700103358,"Ball Bluff township, Aitkin County, Minnesota",221,31
0600000US2700103412,2700103412,"Balsam township, Aitkin County, Minnesota",32,15
0600000US2700104384,2700104384,"Beaver township, Aitkin County, Minnesota",56,25
0600000US2700111620,2700111620,"Clark township, Aitkin County, Minnesota",141,36
0600000US2700113330,2700113330,"Cornish township, Aitkin County, Minnesota",35,13
0600000US2700114903,2700114903,"Davidson UT, Aitkin County, Minnesota",0,9
0600000US2700120654,2700120654,"Farm Island township, Aitkin County, Minnesota",931,129
0600000US2700121230,2700121230,"Fleming township, Aitkin County, Minnesota",370,57
0600000US2700123930,2700123930,"Glen township, Aitkin County, Minnesota",423,62
0600000US2700127602,2700127602,"Haugen township, Aitkin County, Minnesota",153,30
0600000US2700128052,2700128052,"Hazelton township, Aitkin County, Minnesota",707,81
0600000US2700129096,2700129096,"Hill City city, Aitkin County, Minnesota",573,116
0600000US2700129114,2700129114,"Hill Lake township, Aitkin County, Minnesota",435,82
0600000US2700130788,2700130788,"Idun township, Aitkin County, Minnesota",247,47
0600000US2700131958,2700131958,"Jevne township, Aitkin County, Minnesota",324,55
0600000US2700131966,2700131966,"Jewett UT, Aitkin County, Minnesota",71,35
0600000US2700133218,2700133218,"Kimberly township, Aitkin County, Minnesota",189,50
0600000US2700134982,2700134982,"Lakeside township, Aitkin County, Minnesota",394,65
0600000US2700136152,2700136152,"Lee township, Aitkin County, Minnesota",30,11
0600000US2700136908,2700136908,"Libby township, Aitkin County, Minnesota",56,24
0600000US2700137844,2700137844,"Logan township, Aitkin County, Minnesota",193,54
0600000US2700138996,2700138996,"McGrath city, Aitkin County, Minnesota",65,29
0600000US2700139014,2700139014,"McGregor city, Aitkin County, Minnesota",470,101
0600000US2700139032,2700139032,"McGregor township, Aitkin County, Minnesota",144,63
0600000US2700139212,2700139212,"Macville township, Aitkin County, Minnesota",165,52
0600000US2700139590,2700139590,"Malmo township, Aitkin County, Minnesota",278,48
0600000US2700142300,2700142300,"Millward township, Aitkin County, Minnesota",61,17
0600000US2700144278,2700144278,"Morrison township, Aitkin County, Minnesota",191,50
0600000US2700146546,2700146546,"Nordland township, Aitkin County, Minnesota",982,124
0600000US2700146890,2700146890,"Northeast Aitkin UT, Aitkin County, Minnesota",0,9
0600000US2700147342,2700147342,"Northwest Aitkin UT, Aitkin County, Minnesota",286,79
0600000US2700149498,2700149498,"Palisade city, Aitkin County, Minnesota",166,41
0600000US2700151694,2700151694,"Pliny township, Aitkin County, Minnesota",103,30
0600000US2700154106,2700154106,"Rice River township, Aitkin County, Minnesota",119,30
0600000US2700158270,2700158270,"Salo township, Aitkin County, Minnesota",102,24
0600000US2700159134,2700159134,"Seavey township, Aitkin County, Minnesota",67,28
0600000US2700159368,2700159368,"Shamrock township, Aitkin County, Minnesota",1284,149
0600000US2700161546,2700161546,"Spalding township, Aitkin County, Minnesota",273,59
0600000US2700161654,2700161654,"Spencer township, Aitkin County, Minnesota",522,87
0600000US2700164156,2700164156,"Tamarack city, Aitkin County, Minnesota",56,23
0600000US2700165722,2700165722,"Turner township, Aitkin County, Minnesota",220,39
0600000US2700166748,2700166748,"Verdon township, Aitkin County, Minnesota",34,19
0600000US2700167540,2700167540,"Wagner township, Aitkin County, Minnesota",315,54
0600000US2700168692,2700168692,"Waukenabo township, Aitkin County, Minnesota",331,54
0600000US2700168872,2700168872,"Wealthwood township, Aitkin County, Minnesota",256,53
0600000US2700170132,2700170132,"White Pine township, Aitkin County, Minnesota",27,16
0600000US2700170384,2700170384,"Williams township, Aitkin County, Minnesota",156,63
0600000US2700171716,2700171716,"Workman township, Aitkin County, Minnesota",215,51
0600000US2700301486,2700301486,"Andover city, Anoka County, Minnesota",31906,33
0600000US2700301720,2700301720,"Anoka city, Anoka County, Minnesota",17325,32
0600000US2700305554,2700305554,"Bethel city, Anoka County, Minnesota",504,83
0600000US2700306382,2700306382,"Blaine city, Anoka County, Minnesota",61210,28
0600000US2700310648,2700310648,"Centerville city, Anoka County, Minnesota",3907,33
0600000US2700311494,2700311494,"Circle Pines city, Anoka County, Minnesota",4947,18
0600000US2700312700,2700312700,"Columbia Heights city, Anoka County, Minnesota",19689,35
0600000US2700312718,2700312718,"Columbus city, Anoka County, Minnesota",3980,13
0600000US2700313114,2700313114,"Coon Rapids city, Anoka County, Minnesota",62159,31
0600000US2700317486,2700317486,"East Bethel city, Anoka County, Minnesota",11618,26
0600000US2700322814,2700322814,"Fridley city, Anoka County, Minnesota",27447,35
0600000US2700326738,2700326738,"Ham Lake city, Anoka County, Minnesota",15878,51
0600000US2700329258,2700329258,"Hilltop city, Anoka County, Minnesota",799,128
0600000US2700336836,2700336836,"Lexington city, Anoka County, Minnesota",1965,135
